epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.436,3.15864,3.38165,3.64306,0.05813,0.33327,0.04873,0.01302,2.57541,4.15405,3.24054,0.000552888,0.000552888,0.000552888
2,287.019,2.31035,2.70013,2.66763,0.32567,0.33413,0.27095,0.09837,2.08661,2.72121,2.62735,0.00109758,0.00109758,0.00109758
3,427.425,2.08652,2.44847,2.41777,0.22408,0.22646,0.11523,0.03448,2.32501,4.0967,2.78087,0.00163127,0.00163127,0.00163127
4,568.088,1.96591,2.29186,2.28387,0.39395,0.389,0.35166,0.13182,2.04405,2.49097,2.47855,0.00161749,0.00161749,0.00161749
5,709.025,1.87043,2.15275,2.16216,0.43644,0.48078,0.44456,0.1905,1.87428,2.14705,2.34684,0.00160099,0.00160099,0.00160099
6,850.389,1.77637,2.03073,2.08365,0.50741,0.4438,0.45756,0.19214,1.86639,2.06434,2.32613,0.00158448,0.00158448,0.00158448
7,991.106,1.7351,1.94348,2.01966,0.39075,0.44886,0.38634,0.16396,1.9656,2.18222,2.3607,0.00156798,0.00156798,0.00156798
8,1131.1,1.6742,1.84623,1.96396,0.50149,0.47974,0.48763,0.23009,1.88052,1.94806,2.30478,0.00155148,0.00155148,0.00155148
9,1271.93,1.62869,1.76482,1.91923,0.41839,0.46978,0.3921,0.18112,1.96405,2.03394,2.3981,0.00153497,0.00153497,0.00153497
10,1412.41,1.55708,1.64596,1.85098,0.57934,0.49544,0.56365,0.26592,1.84095,1.83279,2.2949,0.00151847,0.00151847,0.00151847
11,1553.35,1.51988,1.58374,1.81253,0.50737,0.49883,0.51757,0.24267,1.838,1.88428,2.27691,0.00150197,0.00150197,0.00150197
12,1694.36,1.47123,1.523,1.77467,0.5602,0.46243,0.50842,0.23527,1.83078,1.85306,2.27559,0.00148546,0.00148546,0.00148546
13,1834.66,1.42996,1.45178,1.7342,0.49487,0.50124,0.49006,0.22079,1.9556,1.93184,2.43012,0.00146896,0.00146896,0.00146896
